skill
python
java
c++
c
html
css
javascript
php
mysql
django
flask
react
nodejs
data structures
algorithms
oop
rdbms
computer networks
statistics
machine learning
deep learning
pandas
numpy
tensorflow
pytorch
git
docker
linux
aws
azure
kubernetes
